127.0.0.1 - - [18/Apr/2021:20:57:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2021:20:57:50 +0900] "GET /mvcProjectTest/shop_create.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Apr/2021:20:57:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2021:20:58:04 +0900] "GET /mvcProjectTest/sall HTTP/1.1" 500 4632
0:0:0:0:0:0:0:1 - - [18/Apr/2021:20:58:56 +0900] "GET /mvcProjectTest/shop_create.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Apr/2021:20:58:57 +0900] "GET /mvcProjectTest/shop_create.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:27 +0900] "GET /mvcProjectTest/sall HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:30 +0900] "GET /mvcProjectTest/resources/img/code0001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:30 +0900] "GET /mvcProjectTest/resources/img/code0002.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:30 +0900] "GET /mvcProjectTest/resources/img/code0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:34 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:35 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [18/Apr/2021:21:05:36 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3154
